canal,tiempo_o_bache,productos_disponibles,producto_comprado
PRESENCIAL,721.8536193105502,0;1;2;3;4,3
PRESENCIAL,724.2482733527403,0;1;2;3;4,4
PRESENCIAL,727.325715431776,0;1;2;3;4,3
PRESENCIAL,729.5807070708248,0;1;2;3;4,2
PRESENCIAL,731.1753688581135,0;1;2;3;4,3
PRESENCIAL,733.7122801679832,0;1;2;3;4,2
PRESENCIAL,736.6037221587815,0;1;2;3;4,1
PRESENCIAL,746.011784004364,0;1;2;3;4,1
PRESENCIAL,747.3242487822033,0;1;2;3;4,2
PRESENCIAL,756.4286597072479,0;1;2;3;4,3
PRESENCIAL,766.655762300917,0;1;2;3;4,2
PRESENCIAL,767.0986015346584,0;1;2;3;4,2
PRESENCIAL,771.8367316777803,0;1;2;3;4,4
PRESENCIAL,772.9927387028935,0;1;2;3;4,3
PRESENCIAL,780.7699197250935,0;1;2;3;4,1
PRESENCIAL,786.6881546236972,0;1;2;3;4,4
PRESENCIAL,790.0418792166798,0;1;2;3;4,1
PRESENCIAL,792.330246623349,0;1;2;3;4,2
PRESENCIAL,794.0648896397914,0;1;2;3;4,2
PRESENCIAL,798.0607088130214,0;1;2;3;4,3
PRESENCIAL,804.9960059070429,0;1;2;3;4,2
PRESENCIAL,810.072018706278,0;1;2;3;4,1
PRESENCIAL,810.9838442560701,0;1;2;3;4,1
PRESENCIAL,813.4314373228794,0;1;2;3;4,4
PRESENCIAL,814.820840498018,0;1;2;3;4,2
PRESENCIAL,815.0000194817605,0;1;2;3;4,1
PRESENCIAL,815.8899437335689,0;1;2;3;4,2
PRESENCIAL,820.6543283366345,0;1;2;3;4,2
PRESENCIAL,832.3008774029729,0;1;2;3;4,2
PRESENCIAL,836.3813947658048,0;1;2;3;4,4
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,4
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,4
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,4
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,4
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,2
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,1
ONLINE,14:00,1;2;3;4,3
ONLINE,14:00,1;2;3;4,4
PRESENCIAL,844.3009971131222,0;1;2;3;4,2
PRESENCIAL,844.8234176446978,0;1;2;3;4,1
PRESENCIAL,847.5451565273557,0;1;2;3;4,4
PRESENCIAL,849.8991788951204,0;1;2;3;4,1
PRESENCIAL,850.747515775924,0;1;2;3;4,3
PRESENCIAL,852.5137973513805,0;1;2;3;4,2
PRESENCIAL,853.4426700862853,0;1;2;3;4,4
PRESENCIAL,858.5856388404462,0;1;2;3;4,2
PRESENCIAL,868.2327011721464,0;1;2;3;4,4
PRESENCIAL,868.7644275000226,0;1;2;3;4,2
PRESENCIAL,872.2674966443041,0;1;2;3;4,2
PRESENCIAL,872.7860361658398,0;1;2;3;4,2
PRESENCIAL,879.4104833875447,0;1;2;3;4,2
PRESENCIAL,884.8499922241936,0;1;2;3;4,1
PRESENCIAL,887.1238891430004,0;1;2;3;4,3
PRESENCIAL,891.3198870722381,0;1;2;3;4,1
PRESENCIAL,892.643194836094,0;1;2;3;4,2
PRESENCIAL,893.8513860073004,0;1;2;3;4,4
PRESENCIAL,895.8066300623476,0;1;2;3;4,2
PRESENCIAL,897.3117153981981,0;1;2;3;4,1
PRESENCIAL,902.7423292779389,0;1;2;3;4,2
PRESENCIAL,903.7324061253399,0;1;2;3;4,2
PRESENCIAL,904.4066804914003,0;1;2;3;4,2
PRESENCIAL,906.9855482556338,0;1;2;3;4,3
PRESENCIAL,915.8196156179939,0;1;2;3;4,2
PRESENCIAL,918.7494623118463,0;1;2;3;4,1
PRESENCIAL,919.4582928609639,0;1;2;3;4,1
PRESENCIAL,929.6785288663225,0;1;2;3;4,1
PRESENCIAL,930.0889456286736,0;1;2;3;4,1
PRESENCIAL,931.5969751228453,0;1;2;3;4,2
PRESENCIAL,934.4232029676798,0;1;2;3;4,3
PRESENCIAL,941.3347664470791,0;1;2;3;4,1
PRESENCIAL,942.1399612654916,0;1;2;3;4,1
PRESENCIAL,943.2109875365638,0;1;2;3;4,1
PRESENCIAL,944.4887705889839,0;1;2;3;4,2
PRESENCIAL,945.4894562023692,0;1;2;3;4,3
PRESENCIAL,946.2022938041159,0;1;2;3;4,3
PRESENCIAL,946.3723789760198,0;1;2;3;4,4
PRESENCIAL,952.162438892388,0;1;2;3;4,1
PRESENCIAL,957.9969492454826,0;1;2;3;4,2
